# S0 CLI 레퍼런스 — 파일별 최상위 선언 수
# 문법 3dea6df · tree-sitter 0.26.12
# 쿼리 crates/pal-extract/queries/kotlin/top-level.scm
path	parse	declarations
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/jwt/service/JwtTokenService.kt	ok	2
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/model/RefreshTokenFamily.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/model/TokenBlacklist.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/model/UserToken.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/model/db/RefreshTokenFamilyTable.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/model/db/TokenBlacklistTable.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/model/db/UserTokenTable.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/pat/model/PersonalAccessToken.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/pat/model/db/PersonalAccessTokenScopeTable.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/pat/model/db/PersonalAccessTokenTable.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/pat/repository/ExposedPatTokenRepository.kt	fail	0
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/pat/service/BoxwoodPatUserResolver.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/pat/service/PersonalAccessTokenService.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/pat/service/impl/PersonalAccessTokenServiceImpl.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/pat/web/controller/PersonalAccessTokenController.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/pat/web/dto/PersonalAccessTokenDto.kt	ok	7
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/repository/RefreshTokenFamilyRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/repository/TokenBlacklistRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/repository/UserTokenRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/repository/impl/RefreshTokenFamilyDslRepository.kt	fail	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/repository/impl/TokenBlacklistRepositoryImpl.kt	fail	0
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/repository/impl/UserTokenRepositoryImpl.kt	fail	0
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/service/DwpTokenHashService.kt	ok	2
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/service/RateLimitService.kt	ok	3
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/systempat/filter/SystemPatAuthenticationFilter.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/systempat/model/SystemPatScope.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/systempat/model/SystemPersonalAccessToken.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/systempat/model/db/SystemPersonalAccessTokenScopeTable.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/systempat/model/db/SystemPersonalAccessTokenTable.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/systempat/repository/SystemPatTokenRepository.kt	fail	0
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/systempat/service/SystemPatService.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/systempat/service/SystemPatTokenValidator.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/systempat/service/SystemPatUserResolver.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/systempat/service/impl/SystemPatServiceImpl.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/systempat/web/controller/SystemPatController.kt	ok	2
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/systempat/web/dto/SystemPatDto.kt	ok	5
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/util/JwtUtils.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/web/controller/AuthenticationController.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/auth/web/dto/AuthenticationDto.kt	ok	12
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/adaptive/cards/controller/AdaptiveCardController.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/adaptive/cards/model/db/AdaptiveCardTable.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/adaptive/cards/model/dto/AdaptiveCardDto.kt	ok	3
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/adaptive/cards/repository/AdaptiveCardRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/adaptive/cards/repository/impl/AdaptiveCardDslRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/adaptive/cards/service/AdaptiveCardService.kt	ok	2
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/connector/controller/ConnectorController.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/connector/model/db/ConnectorTable.kt	ok	2
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/connector/model/dto/ConnectorDto.kt	ok	7
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/connector/repository/ConnectorRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/connector/repository/impl/ConnectorDslRepository.kt	fail	0
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/connector/service/ConnectorConnectionTestService.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/connector/service/ConnectorService.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/connector/service/OpenApiImportService.kt	ok	5
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/connector/service/OpenApiSchemaService.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/credentials/controller/CredentialController.kt	ok	2
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/credentials/model/db/CredentialTable.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/credentials/model/dto/CredentialDto.kt	ok	8
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/credentials/repository/CredentialRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/credentials/repository/impl/CredentialDslRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/credentials/service/CredentialEncryptionService.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/credentials/service/CredentialService.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/dashboard/controller/DashboardController.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/dashboard/model/dto/DashboardDto.kt	ok	24
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/dashboard/repository/DashboardRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/dashboard/repository/impl/DashboardDslRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/dashboard/service/DashboardService.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/email/templates/controller/EmailTemplateController.kt	ok	1
