n	소요초	개념명	정의	관계
1	1117.8	컴포넌트 버전 관리	일부 도메인 모델은 수정 이력 보전을 위해 버전 관리 모델 패턴으로 관리한다. (메타/버전 엔티티로 구분) **메타**-컴포넌트 인스턴스를 구분하는 단위로, 수정이 발생해도 다른 인스턴스와 구별되며 변경되지 않는 속성을 가진다. **버전**-동일 인스턴스 내에서 수정으로 파생된 데이터 객체로, 수정 가능한 모든 속성으로 구성된다	(메타, 소유한다, 버전들) · (컴포넌트 인스턴스, 구성된다, 메타+특정 버전) · (컴포넌트 인스턴스, 수정한다, 신규 버전 객체 생성)
2	831.6	BPMN 기반 프로세스 처리	AutomationEngine은 내부적으로 Camunda BPM 7.24를 사용하여, (Frontend에서 저작되어) Portal backend를 통해 배포된 BPMN을 실행시킨다. camunda external-task를 실행할 수 있으며, 이것은 External Client가 담당하여 external-task를 소비하고 결과를 AutomationEngine으로 전달한다	(AutomationEngine, 실행한다, BPMN) · (Frontend, 저작한다, BPMN) · (Frontend, BPMN 저장한다, Portal backend) · (Portal backend, 배포한다, AutomationEngine) · (Frontend, 배포 요청한다, Portal backend) · (Camunda ExternalTask 패턴, 실행/구현한다, AutomationEngine+ExternalClient) · (ExternalClient, 호출한다, 외부 API)
3	290.6	멀티테넌시	박스우드는 멀티테넌시를 적용하여 테넌트 간의 데이터를 격리시킨다. 격리 수준은 테넌트별로 DB 스키마를 구성한다	(테넌트, 점유한다, DB 스키마)
4	466.8	프로세스 실행 중 외부 연계	BPMN 프로세스 내에 외부 API를 호출하는 서비스 태스크(ExternalTask)가 있어서, 외부의 API/Email/RPA/OCR/OData 등을 호출할 수 있다	(ExternalClient, 사용한다, API 호출 처리기) · (ExternalClient, 사용한다, Email 호출 처리기) · (ExternalClient, 사용한다, RPA 호출 처리기) · (ExternalClient, 사용한다, OCR 호출 처리기) · (ExternalClient, 사용한다, OData 호출 처리기)
5	628.1	역할 및 권한	박스우드는 RBAC를 적용한다. 사용자는 n개의 역할을 부여받으며, 각 역할에 할당된 권한들의 합집합이 해당 사용자의 권한이다	(사용자, 속한다, 역할) · (역할, 할당한다, 권한) · (사용자, 보유한다, 소속 역할들에 할당된 권한들의 합)
6	494.2	Frontend 아키텍처 [고갈 이후]	모노레포(turborepo)로 구성되며, 여러 앱과 공통 컴포넌트 라이브러리들을 하나의 프로젝트로 다룬다. 개별 앱 및 라이브러리들은 screaming 구조로 구현하여 코드를 기능 단위로 묶어서 관리한다	(자동화 관련 포탈 앱 소스코드, 위치한다, apps/automation) · (관리자 앱 소스코드, 위치한다, apps/system-management) · (UI 공통컴포넌트, 위치한다, packages/ui) · (UI 쇼케이스, 위치한다, apps/ui-system) · (공통 라이브러리, 위치한다, packages/utils) · (BPMN 관련 컴포넌트, 위치한다, packages/bpmn) · (도메인 모델, 위치한다, packages/domains)
